first_name,last_name,organization,role_title,sector,persona_type,linkedin_url,company_website,email_if_public,why_relevant,recent_activity,strategic_problem,persona_bridge,problem_frame,ice_breaker,priority_tier,priority_score
Emil,Michael,Department of Defense,Undersecretary of Defense for R&E / CTO / Acting Director DIU,Defense Innovation,Defense/National Security,,https://www.diu.mil,,Pentagon's chief technology strategist overseeing Defense Innovation Unit and coordinating quantum-AI integration across defense technology development.,"Confirmed as Pentagon CTO May 2025; became acting DIU director Aug 2025; identified AI and Quantum as ""North Stars"" among 14 Critical Technology Areas; flattening DoD tech org structure","Synchronizing quantum and AI as enterprise-wide ""North Star"" technology priorities across 14 CTAs while accelerating commercial tech transition through DIU",Multi-stakeholder quantum-AI governance framework,Orchestrate DoD's quantum-AI North Stars with unified coordination framework that accelerates commercial tech transition while meeting national security requirements,Your North Star strategy aligns quantum+AI across DoD—InfraFabric provides the unified orchestration framework that accelerates both while meeting your security requirements,A,97
Amin,Vahdat,Google Cloud,VP & GM ML Systems and Cloud AI,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/vahdat,https://cloud.google.com,,Leads Google Cloud's AI infrastructure including TPUs and AI Hypercomputer systems critical for quantum-AI convergence workloads.,"Launched Ironwood TPU (7th gen) April 2025: 42.5 exaflops at 9,216 chips—24x faster than El Capitan; emphasized networking as #1 bottleneck at Optica March 2025; predicted 2025 as ""Year of Inference""","Networking bottleneck constraining AI scaling: demand growing 10x/year but interconnects lag behind, limiting inference workload distribution at hyperscale",Quantum-safe AI infrastructure orchestration,Solve the networking bottleneck for agentic AI inference workloads by orchestrating quantum-enhanced communication channels within classical TPU fabrics,Your networking bottleneck thesis is quantum's opening—InfraFabric coordinates distributed inference across quantum-enhanced channels that scale with your 10x demand,A,96
Jeremy,O'Brien,PsiQuantum,CEO & Co-founder,Quantum Computing,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/jeremy-o-brien-39482631/,https://www.psiquantum.com,,Leading photonic quantum computing with distributed architecture requiring coordination infrastructure for quantum networking and AI integration.,"Announced Omega photonic chipset Feb 2025 (Nature paper, all components for million-qubit systems); breaking ground Brisbane and Chicago quantum compute centers 2025; Australian and Illinois government partnerships",Building first utility-scale million-qubit photonic quantum computers in manufacturing-ready silicon photonics while coordinating distributed architecture at unprecedented scale,Distributed quantum network management,Coordinate PsiQuantum's distributed photonic architecture across million-qubit systems using quantum networking that leverages your silicon photonics infrastructure,Your photonic architecture is inherently networked—InfraFabric orchestrates your million-qubit systems with quantum networking native to your silicon photonics platform,A,95
Mark,Papermaster,AMD,EVP & Chief Technology Officer,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/mark-papermaster-66914925,https://www.amd.com,mark.papermaster@amd.com,Drives AMD's AI strategy across hardware and software portfolio with focus on open rack-scale AI infrastructure for quantum-ready systems.,Keynoting ISC 2025 on HPC-AI convergence; launched OCP 2025 open rack-scale AI platform with MI355X GPUs; achieved 38X energy efficiency (exceeded 30X goal); taped out 2nm Venice chips,Open rack-scale standards for AI infrastructure that enable hyperscaler adoption while competing with NVIDIA's closed ecosystem at massive scale,Hybrid quantum-classical coordination layer,Build open AI infrastructure today that gracefully incorporates quantum accelerators tomorrow through standards-based rack-scale orchestration,Your OCP rack-scale vision needs quantum extensibility—InfraFabric brings the same open standards philosophy to quantum-classical hybrid coordination,A,94
Swami,Sivasubramanian,AWS,VP of Agentic AI,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/swaminathansivasubramanian,https://aws.amazon.com,,Manages AWS's AI and data services including infrastructure for foundation models that require quantum-enhanced coordination systems.,"Appointed VP of Agentic AI March 2025; AWS Summit NYC keynote on AgentCore (1M+ SDK downloads); re:Invent 2024 launched multi-agent collaboration (40% better completion); saved 4,500 developer-years with Amazon Q",Scaling production-ready agentic AI systems that reliably orchestrate multi-agent collaboration across distributed enterprise infrastructure at AWS global scale,Multi-stakeholder quantum-AI governance framework,Orchestrate multi-agent AI systems with quantum-secured communication channels and hybrid quantum-classical task routing for enterprise-grade reliability,Your agentic AI architecture needs quantum coordination—InfraFabric orchestrates multi-agent collaboration with quantum-secure channels and hybrid task routing at AWS scale,A,93
Michael,Kagan,NVIDIA,Chief Technology Officer,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/mikagan,https://www.nvidia.com,,Oversees NVIDIA's technology strategy for AI systems and networking infrastructure that powers large-scale AI clusters requiring quantum-AI coordination.,"Keynoted Sequoia's 2025 Europe100 on scaling to million-GPU data centers; spoke at G-Research symposium on future of chips July 2025; discussed AI's ""iPhone moment"" and building AI factories",Scaling network architecture beyond Moore's Law to support million-GPU clusters while managing inference-to-training workload shifts and data center efficiency,Quantum-safe AI infrastructure orchestration,How to architect petascale AI clusters that anticipate quantum networking fabric without rearchitecting everything twice,Your million-GPU vision needs quantum-ready networking fabric—InfraFabric ensures you build AI factories that scale beyond classical limits today,A,92
Mustafa,Suleyman,Microsoft,EVP & CEO of Microsoft AI,Enterprise AI Platform,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/mustafa-suleyman,https://www.microsoft.com,,DeepMind co-founder leading Microsoft's consumer AI products including Copilot where quantum-AI coordination infrastructure enables next-generation capabilities.,Appointed Microsoft AI CEO March 2024; hired 24+ DeepMind researchers; launched Copilot personalization and memory; building AI health division with former DeepMind colleagues,Differentiating Microsoft Copilot through AI personality while preparing for quantum computing integration with Azure Quantum services,Hybrid quantum-classical coordination layer,Coordinate Microsoft Copilot with Azure Quantum services enabling quantum-enhanced reasoning that differentiates from purely classical AI assistants,Your Copilot personalization needs quantum reasoning—InfraFabric coordinates Copilot with Azure Quantum for differentiated quantum-enhanced AI interactions,A,92
Doreen,Bogdan-Martin,International Telecommunication Union (ITU),Secretary-General,Standards Development,Standards Body,https://ch.linkedin.com/in/doreentbogdan,https://www.itu.int,,First woman ITU Secretary-General leading international standards for AI quantum and telecommunications requiring coordination infrastructure for technology convergence.,ITU Secretary-General since Jan 2023; 2025 International Year of Quantum Science & Technology; AI for Good Summit July 2025; 2025 Int'l AI Standards Summit Dec 2025; U.S. supports re-election; SIA 2025 Leadership Award,"Coordinating international standards for AI, quantum, and telecommunications across 193 ITU member nations during 2025 International Year of Quantum",Multi-stakeholder quantum-AI governance framework,Coordinate ITU's AI and quantum standards development with unified framework ensuring interoperability across 193 member nations,Your 193-nation mandate spans AI and quantum separately—InfraFabric coordinates both with unified standards ensuring global interoperability,B,92
Mark,Russinovich,Microsoft,CTO of Microsoft Azure,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/markrussinovich,https://azure.microsoft.com,,Oversees Azure's cloud platform architecture that will integrate AI and quantum computing services for enterprise customers.,"Microsoft Ignite 2024 keynote on confidential computing and cloud-native innovation; June 2025 spoke on reasoning models and edge SLMs; cautioned against ""vibe coding"" hype; discussed quantum computing in cloud at Stanford HAI",Securing AI infrastructure against quantum threats while enabling hybrid quantum-classical cloud services for enterprise customers at Azure scale,Post-quantum cryptography integration,Protect Azure's AI services from quantum threats while enabling customers to orchestrate hybrid quantum-classical workloads in a single control plane,Azure's quantum services need enterprise-grade orchestration—InfraFabric provides the PQC-secured control plane that unifies your classical AI and quantum offerings,A,91
Manuela,Veloso,JPMorgan Chase,Head of AI Research,Financial Services AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/manuela-veloso,https://www.jpmorgan.com,,Leading AI research at one of the world's largest banks with 2000+ AI/ML experts who need coordinated infrastructure for quantum-AI convergence in financial modeling.,80-person AI research team; ICLR 2025 paper on decision boundaries; JPMC-MIT CSAIL 10-year research partnership launched 2025; R&D100 Award for MAQ quantum ML,"Advancing AI in finance across fraud detection, data sharing, market systems, and process automation while preparing for quantum computing's impact on optimization and cryptography",Hybrid quantum-classical coordination layer,Coordinate JPMorgan's 2000+ AI/ML experts with quantum-enhanced financial modeling that optimizes portfolios and detects fraud faster than classical systems,Your 2000-person AI team needs quantum augmentation—InfraFabric coordinates hybrid quantum-classical workflows for portfolio optimization that scales with your models,A,91
