first_name,last_name,organization,role_title,sector,persona_type,linkedin_url,company_website,email_if_public,why_relevant
Michael,Kagan,NVIDIA,Chief Technology Officer,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/mikagan,https://www.nvidia.com,,Oversees NVIDIA's technology strategy for AI systems and networking infrastructure that powers large-scale AI clusters requiring quantum-AI coordination.
Bill,Dally,NVIDIA,Chief Scientist & SVP of Research,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/billdally,https://www.nvidia.com,,Leads NVIDIA's research efforts in AI architecture and compute systems that will need to integrate with future quantum computing paradigms.
Mark,Papermaster,AMD,EVP & Chief Technology Officer,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/mark-papermaster-66914925,https://www.amd.com,mark.papermaster@amd.com,Drives AMD's AI strategy across hardware and software portfolio with focus on open rack-scale AI infrastructure for quantum-ready systems.
Amin,Vahdat,Google Cloud,VP & GM ML Systems and Cloud AI,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/vahdat,https://cloud.google.com,,Leads Google Cloud's AI infrastructure including TPUs and AI Hypercomputer systems critical for quantum-AI convergence workloads.
Mark,Russinovich,Microsoft,CTO of Microsoft Azure,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/markrussinovich,https://azure.microsoft.com,,Oversees Azure's cloud platform architecture that will integrate AI and quantum computing services for enterprise customers.
Sachin,Katti,Intel,CTO & Head of AI,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/sachin-katti-72777943,https://www.intel.com,,Leads Intel's overall AI strategy and product roadmap including AI systems that will interface with quantum computing infrastructure.
Swami,Sivasubramanian,AWS,VP of Agentic AI,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/swaminathansivasubramanian,https://aws.amazon.com,,Manages AWS's AI and data services including infrastructure for foundation models that require quantum-enhanced coordination systems.
Andrew,Feldman,Cerebras Systems,Co-Founder & CEO,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/andrewdfeldman,https://www.cerebras.ai,,Builds world's largest AI chips and needs coordination infrastructure to scale AI systems toward quantum-AI hybrid architectures.
Jonathan,Ross,Groq,CEO & Founder,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/ross-jonathan,https://groq.com,,Created LPU inference architecture requiring ultra-low latency coordination that quantum-AI convergence infrastructure could optimize.
Simon,Knowles,Graphcore,Co-Founder & CTO,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/simon-knowles-58b0182,https://www.graphcore.ai,,Architect of IPU systems designed for intelligence workloads that will benefit from quantum-AI coordination frameworks.
Kunle,Olukotun,SambaNova Systems,Co-Founder & CTO,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/kunle-olukotun-80a2735,https://sambanova.ai,,Pioneer in multicore processing and AI acceleration who needs infrastructure to coordinate increasingly complex AI compute systems.
Sid,Sheth,d-Matrix,Founder & CEO,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/sheth,https://www.d-matrix.ai,,Building AI inference compute platform that requires sophisticated coordination infrastructure for quantum-AI hybrid systems.
Grégoire,Ribordy,ID Quantique (IonQ),CEO & Co-founder,Quantum Cryptography,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/gregoire-ribordy/,https://www.idquantique.com,,Leads pioneer in QKD solutions now part of IonQ's quantum networking ecosystem requiring coordination infrastructure for quantum-AI integration.
Jordan,Shapiro,IonQ,President & GM - Quantum Networking,Quantum Networking,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/jordandavidshapiro/,https://ionq.com,,Oversees IonQ's quantum networking division building critical quantum internet infrastructure that needs AI-quantum coordination capabilities.
Niccolo,de Masi,IonQ,President & CEO,Quantum Computing,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/niccolo-de-masi-25929914/,https://ionq.com,,Leads company expanding into quantum networking through acquisitions requiring integrated coordination between quantum systems and AI workflows.
Rajeeb,Hazra,Quantinuum,CEO,Quantum Computing,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/rhazra/,https://www.quantinuum.com,,CEO of leading quantum company working on quantum networking applications needing coordination infrastructure for hybrid quantum-classical systems.
Subodh,Kulkarni,Rigetti Computing,President & CEO,Quantum Computing,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/subodh-kulkarni-21001611/,https://www.rigetti.com,,Leads quantum computing firm developing superconducting quantum networking requiring coordination frameworks for distributed quantum systems.
Jim,Ricotta,Aliro Quantum,CEO & Chairman,Quantum Networking,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/jimricotta,https://www.aliroquantum.com,,CEO of company building entanglement-based quantum networks requiring coordination infrastructure to enable quantum network applications.
Prineha,Narang,Aliro Quantum,CTO & Co-founder,Quantum Networking,Quantum Networking/Cryptography Vendor,,https://www.aliroquantum.com,,Technical leader in quantum networking commercialization needing AI-quantum coordination for scalable quantum network deployment.
Kevin,Chalker,Qrypt,Founder & CEO,Quantum Cryptography,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/kevin-chalker-8b2b06a6/,https://www.qrypt.com,,Leads quantum-secure encryption company requiring coordination infrastructure to integrate quantum security with AI-driven systems.
Denis,Mandich,Qrypt,CTO & Co-founder,Quantum Cryptography,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/denismandich/,https://www.qrypt.com,,Technical lead for post-quantum cryptography needing coordination frameworks to deploy quantum-safe security across AI infrastructures.
Andy,Leaver,Arqit Quantum,CEO,Quantum Cryptography,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/aleaver/,https://arqit.uk,,Scaling quantum encryption solutions requiring coordination infrastructure to integrate quantum-safe security with AI and classical systems.
